Fund Symbol|Fund Name|Fund Family Name|Type|Category|Pricing Agent
AAAAX|DWS RREEF Real Assets Fund - Class A|Deutsche DWS|MS|O|State Street Bank & Trust Company
AAACX|A3 Alternative Credit Fund|A3 Alternative Credit Fund|MS|Y|UMB Fund Services
AAAGX|Thrivent Large Cap Growth Fund Class A|Thrivent Funds|MF|O|Thrivent Investment Management Inc.
AAAIX|American Century Strategic Allocation: Aggressive Fund - I Class|American Century Investments|MF|O|State Street Bank & Trust Company
AAANX|Horizon Active Asset Allocation Fund - Investor Class|Horizon Funds|MS|O|U.S. Bancorp Fund Services, LLC
AAAPX|DWS RREEF Real Assets Fund - Class C|Deutsche DWS|MS|O|State Street Bank & Trust Company
AAAQX|DWS RREEF Real Assets Fund - Class R|Deutsche DWS|MS|O|State Street Bank & Trust Company
AAARX|American Century Strategic Allocation Aggressive Cl R|American Century Investments|MF|O|State Street Bank & Trust Company
AAASX|DWS RREEF Real Assets Fund - Class S|Deutsche DWS|MS|O|State Street Bank & Trust Company
AAATX|American Fds 2010 Target Date Retirement Fd Cl A|American Funds, Inc.|MF|O|Capital Research and Management Company
AAAUX|American Century Strategic Allocation Aggressive Fund R6 Cl|American Century Investments|MF|O|State Street Bank & Trust Company
AAAVX|DWS RREEF Real Assets Fund - Class R6|Deutsche DWS|MS|O|State Street Bank & Trust Company
AAAWX|DWS RREEF Real Assets Fund - Class T|Deutsche DWS|MS|O|State Street Bank & Trust Company
AAAZX|DWS RREEF Real Assets Fund - Class Institutional|Deutsche DWS|MS|O|State Street Bank & Trust Company
AABAX|Cavanal Hill Active Core Fd Cl A Shs|Cavanal Hill Funds|MS|O|Citi Fund Services
AABCX|Putnam Dynamic Asset Allocation Balanced Class C|Putnam Investments|MF|O|State Street Bank & Trust Company
AABFX|Thrivent Balanced Income Plus Fund Class A|Thrivent Funds|MF|O|Thrivent Investment Management Inc.
AABOX|Cavanal Hill Bond Fd Cl A Shs|Cavanal Hill Funds|MS|O|Citi Fund Services
AABPX|American Beacon Balanced Fund Investor Class|American Beacon Funds|MS|O|State Street Bank & Trust Company
AABTX|American Fds 2015 Target Date Retirement Fd Cl A|American Funds, Inc.|MF|O|Capital Research and Management Company
AABUX|AllianzGI Best Styles U.S. Equity Fund Class A|Allianz Global Investors|MS|O|State Street Bank & Trust Company
AACBX|Cavanal Hill Active Core Fund, Class C Shares|Cavanal Hill Funds|MS|O|Citi Fund Services
AACCX|American Century Strategic Allocation: Conservative Class C|American Century Investments|MF|O|State Street Bank & Trust Company
AACDX|American Century Strategic Allocation Conservative Fund R6 Cl|American Century Investments|MF|O|State Street Bank & Trust Company
AACFX|Invesco Greater China Fund Cl A|Invesco Funds|MS|O|State Street Bank & Trust Company
AACGX|American Century Strategic Allocation: Conservative Fund - R5 Class|American Century Investments|MF|O|State Street Bank & Trust Company
AACIX|American Beacon Mid-Cap Value Fund Institutional Class|American Beacon Funds|MS|O|State Street Bank & Trust Company
AACOX|Opportunistic Fund, Class C Shares|Cavanal Hill Funds|MS|O|Citi Fund Services
AACRX|American Century Strategic Allocation Conservative Class R|American Century Investments|MS|O|State Street Bank & Trust Company
AACTX|American Fds 2020 Target Date Retirement Fd Cl A|American Funds, Inc.|MF|O|Capital Research and Management Company
AADAX|Invesco Select Risk: Growth Investor Fund Class A|Invesco Funds|MF|O|State Street Bank & Trust Company
AADBX|American Beacon Balanced Fund Institutional Class|American Beacon Funds|MS|O|State Street Bank & Trust Company
AADCX|Invesco Select Risk: Growth Investor Fund Class C|Invesco Funds|MF|O|State Street Bank & Trust Company
AADEX|American Beacon Large Cap Value Fund Institutional Class|American Beacon Funds|MF|O|State Street Bank & Trust Company
AADGX|Aasgard Small & Mid-Cap Fund|Advisors Series Trust|MS|O|U.S. Bancorp Fund Services, LLC
AADIX|Invesco Select Risk: Growth Investor Fund Class R5|Invesco Funds|MS|O|State Street Bank & Trust Company
AADRX|Invesco Select Risk: Growth Investor Fund Class R|Invesco Funds|MS|O|State Street Bank & Trust Company
AADSX|Invesco Select Risk: Growth Investor Fund Class S|Invesco Funds|MS|O|State Street Bank & Trust Company
AADTX|American Fds 2025 Target Date Retirement Fd Cl A|American Funds, Inc.|MF|O|Capital Research and Management Company
AADYX|Invesco Select Risk: Growth Investor Fund Class Y|Invesco Funds|MS|O|State Street Bank & Trust Company
AAEMX|The Alger Fds II, Alger Emerging Markets Fund Class A|Alger Funds|MS|O|Brown Brothers Harriman & Co.
AAENX|Strategic Enhanced Yield Fund Class A Shares|Cavanal Hill Funds|MS|O|Citi Fund Services
AAERX|American Beacon International Equity Fund - R6 Class|American Beacon Funds|MS|O|State Street Bank & Trust Company
AAESX|Invesco Select Risk: Growth Investor Fund Class R6|Invesco Funds|MS|O|State Street Bank & Trust Company
AAETX|American Fds 2030 Target Date Retirement Fd Cl A|American Funds, Inc.|MF|O|Capital Research and Management Company
